[2023.09.12 14:03:30.234] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.12 14:03:58.882] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.12 14:04:12.569] [HTTP] / (Method: GET, IP: ::1)
[2023.09.12 14:04:12.631] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.12 14:04:12.636] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.12 14:04:12.638] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.12 14:04:12.642] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.12 14:04:12.646] [Error:404] /client/build/bundle.js/n Error: ENOENT: no such file or directory, stat 'C:\Users\sw1\Desktop\project_setting_manual-front-end_v1.1\client\build\bundle.js'/n
[2023.09.12 14:04:12.971] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.09.12 14:04:12.973] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\sw1\Desktop\project_setting_manual-front-end_v1.1\favicon.ico'/n
[2023.09.12 14:06:10.728] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.12 14:06:24.934] [HTTP] / (Method: GET, IP: ::1)
[2023.09.12 14:06:25.023] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.12 14:06:25.025] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.12 14:06:25.027] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.12 14:06:25.039] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.12 14:06:25.107] [HTTP] /client/resources/jpg/kopi.jpg (Method: GET, IP: ::1)
[2023.09.12 14:06:25.109] [HTTP] /client/resources/jpg/main2.png (Method: GET, IP: ::1)
[2023.09.12 14:06:25.110] [HTTP] /client/resources/jpg/main3.png (Method: GET, IP: ::1)
[2023.09.12 14:06:25.210] [HTTP] /client/resources/jpg/new1.jpg (Method: GET, IP: ::1)
[2023.09.12 14:06:25.244] [HTTP] /client/resources/jpg/new2.jpg (Method: GET, IP: ::1)
[2023.09.12 14:06:25.266] [HTTP] /client/resources/jpg/new3.jpg (Method: GET, IP: ::1)
[2023.09.12 14:06:25.276] [HTTP] /client/resources/jpg/new4.jpg (Method: GET, IP: ::1)
[2023.09.12 14:06:25.281] [HTTP] /client/resources/jpg/ba.jpg (Method: GET, IP: ::1)
[2023.09.12 14:06:25.288] [HTTP] /client/resources/img/left.png (Method: GET, IP: ::1)
[2023.09.12 14:06:25.289] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
[2023.09.12 14:06:25.290] [HTTP] /client/resources/jpg/main5.png (Method: GET, IP: ::1)
[2023.09.12 14:06:30.349] [HTTP] /dataSelectList.json (Method: POST, IP: ::1)
[2023.09.12 14:06:30.369] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.12 14:06:30.370] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.12 14:06:30.371] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.12 14:06:30.371] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.12 14:06:30.372] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.12 14:06:30.378] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.12 14:06:30.381] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.12 14:06:32.145] [HTTP] /orderSelectList.json (Method: POST, IP: ::1)
[2023.09.12 14:06:33.611] [HTTP] /dataSelectList.json (Method: POST, IP: ::1)
[2023.09.12 14:06:34.994] [HTTP] /orderSelectList.json (Method: POST, IP: ::1)
[2023.09.12 14:06:37.642] [HTTP] /dataSelectList.json (Method: POST, IP: ::1)
[2023.09.12 14:58:05.632] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.12 14:58:18.269] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.12 14:58:18.503] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.12 14:58:18.506] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.12 14:58:18.507] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.12 14:58:18.508] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.12 14:58:18.568] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.12 14:58:18.569] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.12 14:58:18.571] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.12 14:58:18.572] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.12 14:58:18.575] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.12 14:58:18.576] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.12 14:58:18.578] [HTTP] /dataSelectList.json (Method: POST, IP: ::1)
[2023.09.12 14:58:18.593] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.12 14:58:18.604] [Error:500] /dataSelectList.json/n Error: connect ECONNREFUSED ::1:8080
    at TCPConnectWrap.afterConnect [as oncomplete] (node:net:1495:16)/n
[2023.09.12 14:58:20.744] [HTTP] / (Method: GET, IP: ::1)
[2023.09.12 14:58:20.756] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.12 14:58:20.757] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.12 14:58:20.758] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.12 14:58:20.759] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.12 14:58:20.773] [HTTP] /client/resources/jpg/kopi.jpg (Method: GET, IP: ::1)
[2023.09.12 14:58:20.776] [HTTP] /client/resources/jpg/main3.png (Method: GET, IP: ::1)
[2023.09.12 14:58:20.776] [HTTP] /client/resources/jpg/main2.png (Method: GET, IP: ::1)
[2023.09.12 14:58:20.777] [HTTP] /client/resources/jpg/main5.png (Method: GET, IP: ::1)
[2023.09.12 14:58:20.777] [HTTP] /client/resources/img/left.png (Method: GET, IP: ::1)
[2023.09.12 14:58:20.778] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
[2023.09.12 14:58:20.782] [HTTP] /client/resources/jpg/new1.jpg (Method: GET, IP: ::1)
[2023.09.12 14:58:20.784] [HTTP] /client/resources/jpg/new2.jpg (Method: GET, IP: ::1)
[2023.09.12 14:58:20.786] [HTTP] /client/resources/jpg/new4.jpg (Method: GET, IP: ::1)
[2023.09.12 14:58:20.787] [HTTP] /client/resources/jpg/ba.jpg (Method: GET, IP: ::1)
[2023.09.12 14:58:20.787] [HTTP] /client/resources/jpg/new3.jpg (Method: GET, IP: ::1)
[2023.09.12 16:27:58.822] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.12 16:28:23.902] [HTTP] / (Method: GET, IP: ::1)
[2023.09.12 16:28:23.958] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.12 16:28:23.960] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.12 16:28:23.961] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.12 16:28:23.979] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.12 16:28:24.036] [HTTP] /client/resources/jpg/kopi.jpg (Method: GET, IP: ::1)
[2023.09.12 16:28:24.037] [HTTP] /client/resources/jpg/main2.png (Method: GET, IP: ::1)
[2023.09.12 16:28:24.038] [HTTP] /client/resources/jpg/main3.png (Method: GET, IP: ::1)
[2023.09.12 16:28:24.137] [HTTP] /client/resources/jpg/new1.jpg (Method: GET, IP: ::1)
[2023.09.12 16:28:24.163] [HTTP] /client/resources/jpg/new2.jpg (Method: GET, IP: ::1)
[2023.09.12 16:28:24.165] [HTTP] /client/resources/jpg/new3.jpg (Method: GET, IP: ::1)
[2023.09.12 16:28:24.169] [HTTP] /client/resources/jpg/new4.jpg (Method: GET, IP: ::1)
[2023.09.12 16:28:24.170] [HTTP] /client/resources/jpg/ba.jpg (Method: GET, IP: ::1)
[2023.09.12 16:28:24.174] [HTTP] /client/resources/img/left.png (Method: GET, IP: ::1)
[2023.09.12 16:28:24.174] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
