[2023.09.14 11:15:41.250] ★★★ Node.js를 활용한 Web Server 구동(Port:80) ★★★
[2023.09.14 11:17:52.284] [HTTP] / (Method: GET, IP: ::1)
[2023.09.14 11:17:52.301] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.14 11:17:52.305] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.14 11:17:52.307] [HTTP] /client/build/bundle.js (Method: GET, IP: ::1)
[2023.09.14 11:17:52.310] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
[2023.09.14 11:17:52.362] [HTTP] /client/resources/jpg/main3.png (Method: GET, IP: ::1)
[2023.09.14 11:17:52.364] [HTTP] /client/resources/jpg/kopi.jpg (Method: GET, IP: ::1)
[2023.09.14 11:17:52.364] [HTTP] /client/resources/jpg/main2.png (Method: GET, IP: ::1)
[2023.09.14 11:17:52.366] [HTTP] /client/resources/jpg/main5.png (Method: GET, IP: ::1)
[2023.09.14 11:17:52.367] [HTTP] /client/resources/img/left.png (Method: GET, IP: ::1)
[2023.09.14 11:17:52.367] [HTTP] /client/resources/img/right.png (Method: GET, IP: ::1)
[2023.09.14 11:17:52.372] [HTTP] /client/resources/jpg/new1.jpg (Method: GET, IP: ::1)
[2023.09.14 11:17:52.373] [HTTP] /client/resources/jpg/new2.jpg (Method: GET, IP: ::1)
[2023.09.14 11:17:52.374] [HTTP] /client/resources/jpg/new3.jpg (Method: GET, IP: ::1)
[2023.09.14 11:17:52.378] [HTTP] /client/resources/jpg/new4.jpg (Method: GET, IP: ::1)
[2023.09.14 11:17:52.379] [HTTP] /client/resources/jpg/ba.jpg (Method: GET, IP: ::1)
[2023.09.14 11:17:52.471] [HTTP] /favicon.ico (Method: GET, IP: ::1)
[2023.09.14 11:17:52.474] [Error:404] /favicon.ico/n Error: ENOENT: no such file or directory, stat 'C:\Users\sw1\Desktop\project_setting_manual-front-end_v1.1\favicon.ico'/n
[2023.09.14 11:17:54.711] [HTTP] /menuSelectList.zz (Method: GET, IP: ::1)
[2023.09.14 11:17:54.724] [HTTP] /client/resources/img/up.png (Method: GET, IP: ::1)
[2023.09.14 11:17:54.725] [HTTP] /client/resources/img/americano.png (Method: GET, IP: ::1)
[2023.09.14 11:17:54.726] [HTTP] /client/resources/img/cafe_latte.png (Method: GET, IP: ::1)
[2023.09.14 11:17:54.727] [HTTP] /client/resources/img/ade.png (Method: GET, IP: ::1)
[2023.09.14 11:17:54.728] [HTTP] /client/resources/img/smoothie.png (Method: GET, IP: ::1)
[2023.09.14 11:17:54.732] [Error:500] /menuSelectList.zz/n Error: connect ECONNREFUSED ::1:8080
    at TCPConnectWrap.afterConnect [as oncomplete] (node:net:1495:16)/n
[2023.09.14 11:17:54.733] [HTTP] /client/resources/img/coke.png (Method: GET, IP: ::1)
[2023.09.14 11:17:54.737] [HTTP] /client/resources/img/frappuccino.png (Method: GET, IP: ::1)
[2023.09.14 11:17:59.658] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.14 11:17:59.658] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.14 11:18:47.870] [HTTP] /cafe.page (Method: GET, IP: ::1)
[2023.09.14 11:18:47.882] [HTTP] /client/resources/css/style.css (Method: GET, IP: ::1)
[2023.09.14 11:18:47.883] [HTTP] /client/resources/css/stylem.css (Method: GET, IP: ::1)
[2023.09.14 11:18:47.884] [HTTP] /client/resources/js/jquery-2.1.1.min.js (Method: GET, IP: ::1)
